text	label
I had the most amazing day today and I am so grateful for everything	joy
Woke up feeling so happy and energized, ready to take on the world	joy
I got the results I worked so hard for and I feel so proud of myself	joy
Today my best friend surprised me and it made my heart so full	joy
I laughed so much today my stomach hurts and I love it	joy
Everything felt right today, like the universe was on my side	joy
I finally finished my project and the relief and joy mixed together beautifully	joy
Had coffee with my family this morning and I felt so loved and warm	joy
I aced my presentation today and my lecturer actually complimented me	joy
Went out for a birthday dinner and the whole night was just perfect	joy
Feeling so blessed and happy right now, life is genuinely good	joy
My crush smiled at me today and I have been smiling ever since	joy
I woke up early and the sunrise was so beautiful it made me tear up from happiness	joy
Just booked a trip I have been dreaming about for so long, pure excitement	joy
Received an unexpected compliment from someone I admire and it made my whole week	joy
I feel so alive today, like everything is falling into place	joy
Got promoted at my internship and I could not stop grinning the whole way home	joy
My mom cooked my favourite meal and we talked for hours, I feel so loved	joy
Finally submitted my assignment early for once and the relief is amazing	joy
I spent the afternoon with people I love and I feel completely recharged	joy
Today everything I touched turned to gold, I feel unstoppable	joy
I feel so grateful and happy, I keep smiling for no reason at all	joy
Passed my exam with a grade better than I expected, so happy right now	joy
Had an amazing workout and I feel strong and proud of my body today	joy
My group project went better than expected and my team actually celebrated together	joy
I woke up this morning feeling so refreshed and genuinely happy	joy
Life feels beautiful today and I want to hold onto this feeling forever	joy
Just got great news and I cannot stop jumping around my room	joy
My friends threw me a small surprise and I felt so seen and appreciated	joy
I feel content and at peace, like today was exactly what I needed	joy
I am so happy right now I feel like dancing around my room	joy
Everything went better than I expected today and I feel so relieved and joyful	joy
I feel grateful to be alive and surrounded by so much good	joy
My hard work finally paid off and I feel such pure satisfaction	joy
Had an unexpected fun conversation that completely brightened my mood	joy
I feel light and carefree today, like a weight has been lifted off me	joy
Today made me realize how many good things I have in my life	joy
I woke up with genuine excitement about what the day had in store	joy
I feel loved and supported by the people around me today	joy
Everything I touched today seemed to go right and I feel great	joy
I feel so connected to the people I care about right now	joy
Today I caught myself smiling for no reason and I love that feeling	joy
I feel so proud of the progress I have made and excited about what is ahead	joy
Had a heart to heart conversation with someone I love and felt so joyful	joy
The sun was out and I felt genuinely happy to be outside today	joy
I finished something hard and the achievement feels incredible	joy
I feel like good things are coming and I am excited and hopeful	joy
A kind stranger made my day better and I am still smiling about it	joy
Today I chose happiness and it felt real not forced	joy
I laughed more today than I have in weeks and my heart feels lighter	joy
Today I sat by the window and read my favourite book, it was perfect	calm
I took a long slow walk in the park and my mind finally felt quiet	calm
Everything felt slow and gentle today, I needed that kind of peace	calm
I meditated for the first time in weeks and my whole body released tension	calm
The rain outside made everything feel so cozy and I felt completely at ease	calm
I spent the afternoon alone with my thoughts and it felt healing not lonely	calm
I lit a candle and journaled for an hour and I feel so grounded now	calm
The weekend was quiet and I am grateful for that, I needed the stillness	calm
Watched the sunset today and just breathed, feeling very calm and present	calm
I had a slow morning with no plans and it made me appreciate life more	calm
I feel at peace with where I am right now even if things are not perfect	calm
Took a deep breath and let go of a lot of tension I have been holding	calm
Today was a day of quiet reflection and I feel more clear about things	calm
I sat in the garden and watched the birds and felt completely present	calm
Life felt simple and beautiful today in the most ordinary way	calm
I did some light stretching this morning and felt so gentle with myself	calm
Had a quiet evening with herbal tea and soft music, my mind is settled	calm
I feel balanced and okay today, not great not bad, just peacefully neutral	calm
Spent the evening journaling and sorting through my thoughts, feeling much clearer	calm
I took a break from my phone for the day and my mind feels so refreshed	calm
The forest walk today reminded me to slow down and breathe deeply	calm
I cooked a simple meal and ate slowly without rushing and it felt therapeutic	calm
Today I let myself rest without guilt and it made all the difference	calm
I feel centered today, like my emotions are steady and my thoughts are clear	calm
I did not do much today but I felt a quiet kind of contentment throughout	calm
I listened to rain sounds while studying and felt unusually peaceful	calm
Everything around me felt soft and unhurried today, it was exactly what I needed	calm
Had a gentle conversation with a close friend and felt understood and calm	calm
I organized my desk and room and the clarity in my space translated to my mind	calm
Today I chose rest over productivity and I have no regrets about it	calm
My whole body feels relaxed and I am in such a peaceful headspace right now	calm
I practiced deep breathing today and it really helped me settle down	calm
I feel quiet inside today, not numb, just genuinely at peace	calm
I had a slow and intentional morning that set the tone for a calm whole day	calm
I feel less tangled in my thoughts today and more clear about what matters	calm
The simplicity of today felt like medicine for my tired mind	calm
I am not rushing anywhere today and it feels absolutely wonderful	calm
I feel like I finally gave myself permission to rest and it is so needed	calm
I had a quiet heart today, no storms, just still water	calm
I feel settled in myself in a way that does not happen often enough	calm
Today I said no to plans so I could stay home and recharge, no regrets	calm
I sat in silence for twenty minutes and felt my whole nervous system soften	calm
Everything felt manageable today and I appreciated that feeling so much	calm
I feel grateful for the small calm moments that sneak into busy days	calm
I wrapped myself in a blanket and did absolutely nothing productive today	calm
My inner world feels quiet and that is something I truly treasure	calm
I had a gentle day and I needed it more than I realized	calm
I feel at ease right now and I want to hold onto this sensation	calm
I feel peaceful in the same way you feel peaceful after a good rain	calm
I cried today and I am not even sure why, I just feel so empty inside	sadness
I miss the person I used to be before everything got so complicated	sadness
Everything feels gray and heavy and I do not know how to shake it	sadness
I feel so alone even when I am surrounded by people and it scares me	sadness
Lost a friendship today that I thought would last forever and it hurts deeply	sadness
I have been holding back tears all day and finally let them out tonight	sadness
The loneliness is hitting differently tonight, I feel so disconnected from everyone	sadness
I keep replaying memories that make me sad and I cannot seem to stop	sadness
I feel like no one truly understands what I am going through right now	sadness
Today reminded me of someone I lost and the grief came back so heavily	sadness
I am heartbroken over something I cannot even explain properly	sadness
Feeling a deep emptiness today that I cannot fill no matter what I try	sadness
I just feel really sad today and I am not sure what triggered it	sadness
The tears came out of nowhere tonight and I let myself cry for a while	sadness
I feel forgotten and unimportant and it is really weighing on my heart	sadness
Today was one of those days where sadness just follows you everywhere	sadness
I saw old photos and felt the ache of things that are no longer the same	sadness
Missing someone who is no longer in my life and the pain is still so raw	sadness
I feel like I am grieving something I cannot name and it is exhausting	sadness
I do not feel motivated or happy or anything really, just a quiet sadness	sadness
Cried while listening to a song that reminded me of better days	sadness
I have been feeling low for a few days now and I do not know when it will pass	sadness
I feel invisible like nobody notices how much I am struggling inside	sadness
The sadness is not loud today but it is there underneath everything I do	sadness
I tried to reach out to someone and they did not respond and now I feel worse	sadness
I am going through a breakup and the loneliness is overwhelming tonight	sadness
I cried in the shower because it is the only place I can be honest with myself	sadness
Felt so hopeless today like nothing I do will ever be enough	sadness
I feel like I am falling behind in life and everyone else is moving forward without me	sadness
I am disappointed in myself and I cannot seem to forgive myself right now	sadness
I feel like I am drowning in sadness and I cannot find the surface	sadness
I have been holding back tears all week and tonight they finally came	sadness
I feel so hollow inside like something important is missing from me	sadness
I miss a version of my life that no longer exists and it breaks my heart	sadness
The grief hits me at random moments and it never gets easier	sadness
I feel disconnected from joy right now like I have forgotten what it feels like	sadness
I am so sad and I cannot explain it to anyone without feeling judged	sadness
I carry a weight in my chest every day that I do not know how to put down	sadness
I feel lonely in a way that people around me cannot seem to fix	sadness
I spent the night crying quietly and hoping tomorrow will be lighter	sadness
I feel rejected and it has brought up so much sadness I was not prepared for	sadness
I am mourning something I never got a chance to have and that hurts	sadness
I feel like I have been sad for so long I have forgotten my default mood	sadness
I am trying to stay positive but the sadness keeps creeping back in	sadness
I feel deeply melancholy today without a single obvious reason why	sadness
I am not okay but I do not have the words to explain that to anyone	sadness
I feel a kind of tired that sleep cannot fix, it goes right to my soul	sadness
The sadness I feel is quiet but it is constant and it is wearing me down	sadness
I feel like I am walking through fog emotionally and nothing feels vivid	sadness
I keep thinking about how much has changed and how I miss the way things were	sadness
I am deeply sad today and I do not have the energy to pretend otherwise	sadness
I feel a kind of homesickness even though I am at home	sadness
I miss how things used to be before everything changed so much	sadness
I feel small and forgotten today like I do not matter much to anyone	sadness
My heart aches for something I cannot quite put into words	sadness
I am grieving quietly today and I just need space to feel that	sadness
I feel like I have been running on empty emotionally for too long	sadness
I feel weighed down by things I cannot fix or change and it hurts	sadness
I am so sad and I am trying to be kind to myself about it	sadness
I just feel really down today and even writing this is hard	sadness
I have so many deadlines piling up and I feel like I cannot breathe	anxiety
My heart is racing just thinking about tomorrow and all the things I need to do	anxiety
The exam is getting closer and my anxiety is through the roof right now	anxiety
I cannot focus on anything because my mind keeps jumping to worst case scenarios	anxiety
I am terrified I am going to fail and let everyone down who believed in me	anxiety
I woke up at 3am worrying about things I cannot control and I could not sleep again	anxiety
The thought of presenting in front of the class makes my hands shake	anxiety
I feel overwhelmed by everything and I do not know where to even start	anxiety
My chest feels tight and I keep holding my breath without realizing it	anxiety
I am so scared of what will happen if I do not get this right	anxiety
I keep overthinking every small decision and it is exhausting my brain	anxiety
I feel like I am running out of time and no matter how hard I try it is not enough	anxiety
My thoughts are spiraling and I cannot seem to slow them down tonight	anxiety
I am anxious about a conversation I need to have and I keep avoiding it	anxiety
Everything feels urgent and impossible at the same time and I feel paralyzed	anxiety
I have been feeling a constant low hum of worry for weeks and it is draining	anxiety
I worry about the future so much that I cannot even enjoy the present moment	anxiety
I am scared that I am not doing enough and time is slipping away from me	anxiety
The pressure from my parents about my grades is making me feel sick with worry	anxiety
I cannot stop thinking about all the things that could go wrong	anxiety
My FYP deadline is approaching and I am panicking because I am not ready	anxiety
I am so stressed about my group project and nobody seems to care except me	anxiety
I feel like every mistake I make is going to have huge consequences	anxiety
The social anxiety is really bad today, I could not even make eye contact	anxiety
I am scared of failing and I feel like I am constantly on the edge of breaking	anxiety
I woke up anxious again and I hate that my body does this before big days	anxiety
My mind will not let me rest, it keeps cycling through worries over and over	anxiety
I feel like I am always waiting for something bad to happen	anxiety
There is a knot in my stomach that will not go away no matter what I do	anxiety
I am terrified of disappointing the people who matter most to me	anxiety
I am so overwhelmed I do not even know which task to start first	anxiety
I feel a constant low level panic that I cannot shake no matter what I do	anxiety
My body is tense and my mind is racing and I cannot get them to slow down	anxiety
I am dreading an upcoming event so much that I can barely function right now	anxiety
I feel a crushing pressure to perform and it is making everything harder	anxiety
I keep checking my phone for messages and feeling anxious when there are none	anxiety
The uncertainty about my future is making me feel sick with worry every day	anxiety
I am so nervous about the interview tomorrow I cannot eat properly	anxiety
I feel like I am always bracing for something bad to happen and it is exhausting	anxiety
I cannot relax because my mind keeps jumping to all the worst possibilities	anxiety
I feel paralyzed by everything I need to do and I cannot start any of it	anxiety
My anxiety is making simple tasks feel impossibly difficult right now	anxiety
I am scared of being judged by everyone around me all the time	anxiety
I feel a physical knot of worry in my chest that will not loosen	anxiety
I keep replaying conversations and worrying about whether I said the wrong thing	anxiety
I am overwhelmed by how much there is to do and how little time there is	anxiety
I feel a creeping dread every morning that takes hours to fade away	anxiety
I am worried that I will not meet everyone's expectations of me	anxiety
My mind will not stop catastrophizing even when things are actually going okay	anxiety
I feel a spiral of anxiety starting and I am trying to stop it before it gets worse	anxiety
I am so anxious about everything that I feel frozen in place	anxiety
I keep worrying about what will happen next and I cannot relax	anxiety
The pressure to succeed is making me feel sick with anxiety daily	anxiety
I feel jittery and on edge and I do not know how to calm down	anxiety
I am terrified of making the wrong choice and regretting it forever	anxiety
I feel like time is running out and I am not doing enough	anxiety
My anxiety is making it hard to sleep and I am exhausted	anxiety
I feel a constant sense of impending doom that I cannot shake	anxiety
I am so anxious I keep making mistakes and then I get more anxious	anxiety
I feel like I am always just barely holding it together	anxiety
I am so angry I do not even know what to do with myself right now	anger
My teammate did nothing again today and I have to carry the entire group alone	anger
I feel like nobody respects my boundaries and I am fed up with it	anger
I said something I regret and now I feel this hot frustrated anger at myself	anger
I am so frustrated with how unfair this whole situation is	anger
Why do people keep taking me for granted when I give everything I have	anger
I am mad at myself for letting someone treat me that way again	anger
I snapped at someone today and I feel ashamed but I am still so frustrated	anger
I am irritated by everything today and I cannot seem to calm down	anger
My lecturer was so unfair and I am still seething hours later	anger
I feel resentment building up and I do not know how to release it properly	anger
I am frustrated that no matter how hard I work people do not notice	anger
Everything is annoying me today and I cannot figure out why	anger
I am angry because I trusted someone and they let me down badly	anger
I feel like screaming into a pillow because the injustice of today is too much	anger
I snapped at my family and now I feel terrible but also still frustrated	anger
The unfair treatment I received today has been sitting in my chest all night	anger
I am so tired of trying to be patient when everyone else does not pull their weight	anger
I feel bitter about a situation that I cannot change and it is eating at me	anger
I expressed my frustration and now I feel guilty about how I handled it	anger
I am angry at myself for procrastinating again when I know better	anger
I feel undervalued and that frustration has turned into a quiet angry resentment	anger
I cannot believe how inconsiderate people can be and I am done being silent	anger
I am irritated and agitated and nothing seems to be going the way I planned	anger
I feel a burning frustration about something that feels deeply unfair	anger
My anger today surprised me, I did not realize how much I had been bottling up	anger
I am so frustrated I kept making mistakes because my head was full of anger	anger
I cannot shake this mood, everything today triggered irritation after irritation	anger
The argument I had has left me wound up and I cannot wind down	anger
I am furious about something that happened and I am trying to process it	anger
I am livid about the way I was treated today and I cannot let it go	anger
I feel a deep anger at someone who promised to be there and was not	anger
I am so annoyed I cannot even write this without my jaw clenching	anger
I feel rage bubbling up inside me that I have been suppressing for weeks	anger
I am frustrated with myself and everyone around me simultaneously	anger
I feel like I am always the one giving and never the one receiving and I am angry	anger
I am irritated by how things went today and I cannot shake this mood	anger
I feel a simmering resentment that I know I need to address but cannot yet	anger
I am angry because I tried so hard and it was completely overlooked	anger
I feel like I wasted my energy being angry today but I could not help it	anger
I am furious about how unfair my situation is right now	anger
I feel a burning frustration that I cannot seem to let go of	anger
I am so done with people taking advantage of my kindness	anger
I feel like screaming because nothing I say is being heard	anger
I am angry and disappointed and I do not have anyone safe to express it to	anger
I feel resentful today toward someone who wronged me and I hate feeling this way	anger
I snapped today and even though I was justified it left me feeling awful	anger
I am so irritated by the smallest things today and I cannot figure out why	anger
I feel a cold anger simmering underneath everything I do right now	anger
I am angry at the circumstances of my life that feel out of my control	anger
I feel disrespected and the anger from that is hard to manage	anger
I am deeply frustrated by a system that keeps letting me down	anger
I feel prickly and irritable and I do not want to talk to anyone today	anger
I am mad at myself for caring so much about someone who does not care back	anger
I feel a flash of anger every time I think about what happened	anger
I am tired of pretending everything is fine when I am actually furious inside	anger
I feel so much pent up frustration that it is coming out in ways I regret	anger
I am irritated by someone and I cannot stop replaying the interaction	anger
I feel angry and powerless which is a terrible combination	anger
I am not okay with what happened and my anger is telling me that loud and clear	anger
Today was a regular day, I studied and had dinner with my roommate	neutral
I feel steady and level today, no big emotions pulling me anywhere	neutral
I completed my to do list and feel okay about how the day went	neutral
Nothing dramatic happened today, I just lived a regular uneventful day	neutral
I feel fine, not amazing, not low, just fine and that is genuinely okay	neutral
Had a meeting that went okay and did some reading after, normal day	neutral
I feel present and stable today without any emotional turbulence	neutral
Today I just existed and that is perfectly alright with me	neutral
I feel like I am in maintenance mode today, just keeping things ticking along	neutral
Everything was average today and I am at peace with average	neutral
I had a regular lunch and a quiet evening and that is what my day was	neutral
I feel emotionally flat today but not in a bad way, just quiet inside	neutral
I did what was required of me today and now I am resting, fair enough	neutral
Today I had no significant wins or losses, just steady forward movement	neutral
I feel okay about everything today, calm and not worried about much	neutral
Nothing happened worth writing a lot about today, just a regular Thursday	neutral
I feel neither up nor down, I am in a comfortable in between place	neutral
Today I did my best with what I had and that is enough for me	neutral
I feel stable and present and I am grateful for a day without drama	neutral
I am not sure how I feel today, somewhere in the middle of things	neutral
Today was just an ordinary day, nothing exciting or bad really happened	neutral
I feel steady and unremarkable today in a way I actually appreciate	neutral
The day passed by and I feel okay about how I spent my time	neutral
I feel like I am just flowing with the day without much resistance	neutral
I did not feel particularly anything today and that is okay	neutral
I feel grounded and undramatic today and that suits me just fine	neutral
Today I went to class came home and relaxed, completely standard day	neutral
I feel in the middle of things today, not pulled anywhere strongly	neutral
I had a plain and simple day with nothing to complain about	neutral
I feel okay today and sometimes okay is exactly what you need	neutral
I woke up and just went through the day without much feeling	neutral
I feel stable and unremarkable today in a way I appreciate	neutral
The day passed and I feel okay about how I spent my time	neutral
I feel like I am flowing through the day without much resistance	neutral
Nothing in particular happened and I feel okay about that	neutral
I feel grounded and calm today without anything pulling me strongly	neutral
Went to class, came home, ate dinner, nothing unusual to report	neutral
I feel somewhere in the middle, not great not bad, just okay	neutral
I had a simple and uneventful day and I am at peace with that	neutral
Today was fine and I completed what I needed to complete	neutral
I feel so empty and nothing seems to fill the void inside me	sadness
I have been crying on and off all day without knowing why	sadness
The loneliness today feels deeper than usual and I cannot shake it	sadness
I feel like I have lost a part of myself and I do not know how to get it back	sadness
Everything reminds me of how things used to be and it breaks my heart	sadness
I feel like I am invisible to the people who matter most to me	sadness
I am so tired of carrying this sadness alone every single day	sadness
I felt a wave of grief today that I was not expecting and it knocked me down	sadness
I feel hopeless and I am trying hard not to let that feeling win	sadness
Nothing feels enjoyable right now and I am scared that feeling will stay	sadness
I feel unloved today even though I know that is not entirely true	sadness
I spent the day in bed because getting up felt impossible	sadness
I feel numb and disconnected from everything and everyone around me	sadness
Something happened that reminded me of my grief and it all came rushing back	sadness
I miss the version of my life where I felt hopeful about the future	sadness
I feel so lost and I do not know who to turn to right now	sadness
The sadness comes in waves and tonight it is particularly heavy	sadness
I feel forgotten by people I used to be close to and it really hurts	sadness
I am sad and I have been pretending not to be for too long	sadness
I feel like I am mourning something that I never even had a chance to experience	sadness
I am so angry I could not even concentrate on my work today	anger
Someone disrespected me today and the fury has not left me since	anger
I feel a deep frustration that nobody around me seems to understand or care about	anger
I am so fed up with being treated like my feelings do not matter	anger
I lost my temper today and even though part of me regrets it I was right to be angry	anger
The injustice of the situation I am in makes me so angry I cannot think straight	anger
I am irritable and short-tempered today and I hate being like this	anger
I feel a hot resentment building toward someone who keeps letting me down	anger
I am so annoyed at the lack of effort from everyone around me while I give everything	anger
I feel like screaming because I have been holding this frustration in for so long	anger
I am furious about being overlooked again when I clearly deserved better	anger
I feel a cold simmering anger that I have not been able to release all day	anger
I snapped at my friend today and although I apologized I am still frustrated	anger
I am so mad at myself for not standing up for myself when I had the chance	anger
The anger I feel right now is completely justified and I refuse to apologize for it	anger
I feel resentful about a situation that was completely unfair and avoidable	anger
I am beyond frustrated and I need to find a way to release this without hurting anyone	anger
Everything today made me angry and I think I need to take a break from people	anger
I feel a surge of anger every time I think about what happened last week	anger
I am irritated and nobody around me seems to notice or care how I feel	anger
My palms are sweating just thinking about the presentation tomorrow	anxiety
I cannot sit still because my mind keeps racing through everything that could go wrong	anxiety
I woke up with a tight chest again and I know it is because of all the pressure	anxiety
I have been refreshing my email all day waiting for results and the wait is unbearable	anxiety
My hands were shaking before the exam and I could not calm down no matter what	anxiety
I feel like I am always one mistake away from everything falling apart	anxiety
The worry never really goes away, it just becomes louder at night	anxiety
I am scared of the meeting tomorrow and I have rehearsed it fifty times already	anxiety
I feel on edge and jumpy and every small noise makes me flinch	anxiety
I cannot turn off my brain at night and it keeps running through worst case scenarios	anxiety
The stress is physical now, my neck is tight and my breathing is shallow	anxiety
I keep catastrophizing about things that have not even happened yet	anxiety
I am so nervous about the deadline that I have been staring at a blank screen for hours	anxiety
I feel like I need to have everything perfectly planned or something will go terribly wrong	anxiety
The anticipation of bad news is worse than the news itself and it is killing me	anxiety
I am dreading next week so much I cannot enjoy what is happening right now	anxiety
My heart rate spikes every time I see a notification in case it is bad news	anxiety
I feel trapped between too many responsibilities and not enough time to handle them all	anxiety
I am anxious about whether I am making the right choices in life	anxiety
Everything feels uncertain and I hate not knowing what is going to happen	anxiety
I feel sad	sadness
I am sad	sadness
I feel lonely	sadness
I am lonely	sadness
I feel empty	sadness
I am feeling down	sadness
I feel depressed	sadness
I am depressed	sadness
I cried today	sadness
I want to cry	sadness
I feel so unhappy	sadness
I am so unhappy	sadness
I feel sad and lonely	sadness
I am feeling very sad right now	sadness
I feel happy	joy
I am happy	joy
I feel joyful	joy
I am joyful	joy
I feel excited	joy
I am excited	joy
I feel glad	joy
I am glad	joy
I feel wonderful	joy
I feel amazing	joy
I am so happy today	joy
I had a happy day	joy
I feel angry	anger
I am angry	anger
I feel frustrated	anger
I am frustrated	anger
I feel annoyed	anger
I am annoyed	anger
I feel mad	anger
I am mad	anger
I feel furious	anger
I am furious	anger
I feel angry and frustrated	anger
I feel anxious	anxiety
I am anxious	anxiety
I feel worried	anxiety
I am worried	anxiety
I feel stressed	anxiety
I am stressed	anxiety
I feel scared	anxiety
I am scared	anxiety
I feel overwhelmed	anxiety
I am overwhelmed	anxiety
I feel worried and stressed	anxiety
I feel calm	calm
I am calm	calm
I feel peaceful	calm
I am peaceful	calm
I feel relaxed	calm
I am relaxed	calm
I feel content	calm
I am content	calm
I feel at ease	calm
I feel calm and peaceful	calm
I feel okay	neutral
I am okay	neutral
I feel fine	neutral
I am fine	neutral
I feel normal	neutral
I am normal	neutral
Today was okay	neutral
Today was fine	neutral
Everything is fine	neutral
Today was a normal day	neutral
I feel so sad	sadness
I am so sad	sadness
I feel so lonely	sadness
I am so lonely	sadness
I feel so depressed	sadness
I am so depressed	sadness
I feel so empty	sadness
I am so empty	sadness
I feel so down	sadness
I am so down	sadness
I feel so sad and lonely today	sadness
I feel so sad today	sadness
I am so sad today	sadness
I feel so lonely today	sadness
I am so lonely today	sadness
I feel so unhappy today	sadness
I am so unhappy today	sadness
I spent almost the entire day working on my FYP. There are still bugs in the system, and the deadline is getting closer. Every time I solve one problem, another appears. I'm trying my best, but the workload feels overwhelming.	anxiety
My FYP is so stressful and I have so many bugs to fix before the deadline.	anxiety
The system is full of errors and I am overwhelmed by the coding workload.	anxiety
Coding this FYP is making me panic, the bugs never end.	anxiety
The deadline is approaching fast and I am terrified my project will fail.	anxiety
